Country,Country Code,Inbound arrivals of tourists_2013,Inbound arrivals of tourists_2014,Inbound arrivals of tourists_2015,Inbound arrivals of tourists_2016,Inbound arrivals of tourists_2017,Inbound arrivals of tourists_2018,Inbound arrivals of tourists_2019,Inbound arrivals of tourists_2020,Inbound arrivals of tourists_2021,Inbound arrivals of tourists_2022
Suriname,SUR,43000.0,43000.0,43000.0,43000.0,43000.0,43000.0,43000.0,43000.0,43000.0,43000.0
Sweden,SWE,2310000.0,2310000.0,2310000.0,2310000.0,2310000.0,2310000.0,2310000.0,2310000.0,2310000.0,2310000.0
Switzerland,CHE,6946000.0,6946000.0,6946000.0,6946000.0,6946000.0,6946000.0,6946000.0,6946000.0,6946000.0,6946000.0
Syria,SYR,815000.0,815000.0,815000.0,815000.0,815000.0,815000.0,815000.0,815000.0,815000.0,815000.0
Tajikistan,TJK,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0
Tanzania,TZA,285000.0,285000.0,285000.0,285000.0,285000.0,285000.0,285000.0,285000.0,285000.0,285000.0
Thailand,THA,6952000.0,6952000.0,6952000.0,6952000.0,6952000.0,6952000.0,6952000.0,6952000.0,6952000.0,6952000.0
Togo,TGO,53000.0,53000.0,53000.0,53000.0,53000.0,53000.0,53000.0,53000.0,53000.0,53000.0
Tonga,TON,29000.0,29000.0,29000.0,29000.0,29000.0,29000.0,29000.0,29000.0,29000.0,29000.0
Trinidad and Tobago,TTO,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0
Tunisia,TUN,4120000.0,4120000.0,4120000.0,4120000.0,4120000.0,4120000.0,4120000.0,4120000.0,4120000.0,4120000.0
Turkey,TUR,7083000.0,7083000.0,7083000.0,7083000.0,7083000.0,7083000.0,7083000.0,7083000.0,7083000.0,7083000.0
Turkmenistan,TKM,218000.0,218000.0,218000.0,218000.0,218000.0,218000.0,218000.0,218000.0,218000.0,218000.0
Turks and Caicos Islands,TCA,79000.0,79000.0,79000.0,79000.0,79000.0,79000.0,79000.0,79000.0,79000.0,79000.0
Tuvalu,TUV,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
Uganda,UGA,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0
Ukraine,UKR,3716000.0,3716000.0,3716000.0,3716000.0,3716000.0,3716000.0,3716000.0,3716000.0,3716000.0,3716000.0
