Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of a healthy diet [CoHD]
Food Prices for Nutrition 3.0,FPN 3.0,Comoros,COM,2019,YR2019,..
Food Prices for Nutrition 3.0,FPN 3.0,Comoros,COM,2020,YR2020,..
Food Prices for Nutrition 3.0,FPN 3.0,Comoros,COM,2021,YR2021,4.55
Food Prices for Nutrition 3.0,FPN 3.0,Comoros,COM,2022,YR2022,..
Food Prices for Nutrition 3.0,FPN 3.0,"Congo, Dem. Rep.",COD,2017,YR2017,4.3
Food Prices for Nutrition 3.0,FPN 3.0,"Congo, Dem. Rep.",COD,2018,YR2018,3.8
Food Prices for Nutrition 3.0,FPN 3.0,"Congo, Dem. Rep.",COD,2019,YR2019,3.52
Food Prices for Nutrition 3.0,FPN 3.0,"Congo, Dem. Rep.",COD,2020,YR2020,3.3
Food Prices for Nutrition 3.0,FPN 3.0,"Congo, Dem. Rep.",COD,2021,YR2021,3.32
Food Prices for Nutrition 3.0,FPN 3.0,"Congo, Dem. Rep.",COD,2022,YR2022,3.53
Food Prices for Nutrition 3.0,FPN 3.0,"Congo, Rep.",COG,2017,YR2017,3.02
Food Prices for Nutrition 3.0,FPN 3.0,"Congo, Rep.",COG,2018,YR2018,3.06
Food Prices for Nutrition 3.0,FPN 3.0,"Congo, Rep.",COG,2019,YR2019,3.04
Food Prices for Nutrition 3.0,FPN 3.0,"Congo, Rep.",COG,2020,YR2020,3.09
Food Prices for Nutrition 3.0,FPN 3.0,"Congo, Rep.",COG,2021,YR2021,3.27
Food Prices for Nutrition 3.0,FPN 3.0,"Congo, Rep.",COG,2022,YR2022,3.64
Food Prices for Nutrition 3.0,FPN 3.0,Costa Rica,CRI,2017,YR2017,3.54
Food Prices for Nutrition 3.0,FPN 3.0,Costa Rica,CRI,2018,YR2018,3.58
Food Prices for Nutrition 3.0,FPN 3.0,Costa Rica,CRI,2019,YR2019,3.67
Food Prices for Nutrition 3.0,FPN 3.0,Costa Rica,CRI,2020,YR2020,3.56
Food Prices for Nutrition 3.0,FPN 3.0,Costa Rica,CRI,2021,YR2021,3.67
Food Prices for Nutrition 3.0,FPN 3.0,Costa Rica,CRI,2022,YR2022,4.27
Food Prices for Nutrition 3.0,FPN 3.0,Cote d'Ivoire,CIV,2017,YR2017,2.46
